Starting training: agents=12 reward=shared contrastive=False device=mps
update=70 steps=436224 elapsed=317s effrank_n=0.455 d_act=0.0000 loss=-0.1041
update=71 steps=442368 elapsed=321s effrank_n=0.454 d_act=0.0000 loss=-0.0320
update=72 steps=448512 elapsed=326s effrank_n=0.458 d_act=0.0000 loss=-0.0077
update=73 steps=454656 elapsed=330s effrank_n=0.458 d_act=0.0000 loss=-0.0159
update=74 steps=460800 elapsed=335s effrank_n=0.458 d_act=0.0000 loss=0.0414
update=75 steps=466944 elapsed=339s effrank_n=0.460 d_act=0.0000 loss=0.0243
update=76 steps=473088 elapsed=344s effrank_n=0.460 d_act=0.0000 loss=-0.1254
update=77 steps=479232 elapsed=349s effrank_n=0.458 d_act=0.0000 loss=0.0278
update=78 steps=485376 elapsed=354s effrank_n=0.456 d_act=0.0000 loss=0.0285
update=79 steps=491520 elapsed=359s effrank_n=0.449 d_act=0.0000 loss=0.0088
update=80 steps=497664 elapsed=364s effrank_n=0.451 d_act=0.0000 loss=-0.1037
update=81 steps=503808 elapsed=368s effrank_n=0.453 d_act=0.0000 loss=-0.1233
update=82 steps=509952 elapsed=373s effrank_n=0.447 d_act=0.0000 loss=0.0316
update=83 steps=516096 elapsed=378s effrank_n=0.446 d_act=0.0000 loss=0.0066
update=84 steps=522240 elapsed=383s effrank_n=0.449 d_act=0.0000 loss=0.0210
update=85 steps=528384 elapsed=387s effrank_n=0.449 d_act=0.0000 loss=-0.0229
update=86 steps=534528 elapsed=392s effrank_n=0.442 d_act=0.0000 loss=-0.0019
update=87 steps=540672 elapsed=397s effrank_n=0.441 d_act=0.0000 loss=-0.0463
update=88 steps=546816 elapsed=401s effrank_n=0.439 d_act=0.0000 loss=-0.0605
update=89 steps=552960 elapsed=406s effrank_n=0.437 d_act=0.0000 loss=0.0219
update=90 steps=559104 elapsed=411s effrank_n=0.434 d_act=0.0000 loss=-0.0839
update=91 steps=565248 elapsed=416s effrank_n=0.434 d_act=0.0000 loss=-0.0028
update=92 steps=571392 elapsed=420s effrank_n=0.438 d_act=0.0000 loss=0.0026
update=93 steps=577536 elapsed=425s effrank_n=0.437 d_act=-0.0000 loss=-0.0731
update=94 steps=583680 elapsed=430s effrank_n=0.437 d_act=-0.0000 loss=-0.1182
update=95 steps=589824 elapsed=435s effrank_n=0.437 d_act=0.0000 loss=0.0003
update=96 steps=595968 elapsed=439s effrank_n=0.439 d_act=0.0000 loss=0.0105
update=97 steps=602112 elapsed=444s effrank_n=0.439 d_act=0.0000 loss=0.0124
update=98 steps=608256 elapsed=449s effrank_n=0.445 d_act=0.0000 loss=-0.0062
update=99 steps=614400 elapsed=453s effrank_n=0.447 d_act=0.0000 loss=-0.0111
update=100 steps=620544 elapsed=458s effrank_n=0.449 d_act=0.0000 loss=-0.0577
update=101 steps=626688 elapsed=462s effrank_n=0.445 d_act=-0.0000 loss=-0.0056
update=102 steps=632832 elapsed=467s effrank_n=0.445 d_act=0.0000 loss=0.0141
update=103 steps=638976 elapsed=472s effrank_n=0.445 d_act=0.0000 loss=0.0350
update=104 steps=645120 elapsed=476s effrank_n=0.445 d_act=0.0000 loss=0.0272
update=105 steps=651264 elapsed=481s effrank_n=0.444 d_act=0.0000 loss=0.0031
update=106 steps=657408 elapsed=486s effrank_n=0.443 d_act=0.0000 loss=-0.0115
update=107 steps=663552 elapsed=490s effrank_n=0.440 d_act=0.0000 loss=0.0105
update=108 steps=669696 elapsed=495s effrank_n=0.438 d_act=0.0000 loss=-0.0168
update=109 steps=675840 elapsed=499s effrank_n=0.436 d_act=0.0000 loss=0.0338
update=110 steps=681984 elapsed=504s effrank_n=0.436 d_act=0.0000 loss=-0.0265
update=111 steps=688128 elapsed=508s effrank_n=0.437 d_act=0.0000 loss=-0.0588
update=112 steps=694272 elapsed=513s effrank_n=0.434 d_act=0.0000 loss=-0.1112
update=113 steps=700416 elapsed=517s effrank_n=0.435 d_act=0.0000 loss=-0.0723
update=114 steps=706560 elapsed=522s effrank_n=0.436 d_act=0.0000 loss=-0.0360
update=115 steps=712704 elapsed=526s effrank_n=0.436 d_act=0.0000 loss=-0.0307
update=116 steps=718848 elapsed=531s effrank_n=0.434 d_act=0.0000 loss=0.0124
update=117 steps=724992 elapsed=535s effrank_n=0.432 d_act=0.0000 loss=0.0246
update=118 steps=731136 elapsed=540s effrank_n=0.432 d_act=0.0000 loss=0.0339
update=119 steps=737280 elapsed=544s effrank_n=0.431 d_act=-0.0000 loss=0.0416
update=120 steps=743424 elapsed=549s effrank_n=0.432 d_act=-0.0000 loss=-0.0553
update=121 steps=749568 elapsed=553s effrank_n=0.431 d_act=0.0000 loss=0.0413
update=122 steps=755712 elapsed=558s effrank_n=0.431 d_act=0.0000 loss=-0.0958
update=123 steps=761856 elapsed=562s effrank_n=0.430 d_act=0.0000 loss=0.0097
update=124 steps=768000 elapsed=567s effrank_n=0.429 d_act=0.0000 loss=0.0327
update=125 steps=774144 elapsed=571s effrank_n=0.425 d_act=0.0000 loss=0.0159
update=126 steps=780288 elapsed=576s effrank_n=0.427 d_act=0.0000 loss=-0.0174
update=127 steps=786432 elapsed=580s effrank_n=0.428 d_act=0.0000 loss=-0.2385
update=128 steps=792576 elapsed=585s effrank_n=0.430 d_act=0.0000 loss=0.0140
update=129 steps=798720 elapsed=589s effrank_n=0.428 d_act=0.0000 loss=-0.0136
update=130 steps=804864 elapsed=594s effrank_n=0.428 d_act=0.0000 loss=0.0219
update=131 steps=811008 elapsed=598s effrank_n=0.423 d_act=0.0000 loss=-0.0710
update=132 steps=817152 elapsed=603s effrank_n=0.422 d_act=-0.0000 loss=-0.0044
probe: collecting 200 steps...
---
effrank_n:        0.4221
probe_acc:        0.4167
d_act:            -0.0000
training_seconds: 602.8
total_seconds:    604.4
num_steps:        817152
num_agents:       12
reward_type:      shared
use_contrastive:  False
assign_roles:     True
num_roles:        3
probe_chance:     0.333
