Starting training: agents=12 reward=individual contrastive=False device=mps
update=70 steps=436224 elapsed=312s effrank_n=0.738 d_act=0.0000 loss=0.0293
update=71 steps=442368 elapsed=317s effrank_n=0.737 d_act=0.0000 loss=-0.0519
update=72 steps=448512 elapsed=321s effrank_n=0.738 d_act=0.0000 loss=-0.0586
update=73 steps=454656 elapsed=326s effrank_n=0.740 d_act=0.0000 loss=-0.0513
update=74 steps=460800 elapsed=330s effrank_n=0.736 d_act=0.0000 loss=-0.1634
update=75 steps=466944 elapsed=334s effrank_n=0.727 d_act=0.0000 loss=-0.0946
update=76 steps=473088 elapsed=339s effrank_n=0.733 d_act=0.0000 loss=-0.1023
update=77 steps=479232 elapsed=343s effrank_n=0.734 d_act=0.0000 loss=0.0224
update=78 steps=485376 elapsed=347s effrank_n=0.736 d_act=0.0000 loss=0.0048
update=79 steps=491520 elapsed=352s effrank_n=0.743 d_act=0.0000 loss=-0.0447
update=80 steps=497664 elapsed=356s effrank_n=0.752 d_act=0.0000 loss=-0.1568
update=81 steps=503808 elapsed=361s effrank_n=0.738 d_act=0.0000 loss=-0.0124
update=82 steps=509952 elapsed=365s effrank_n=0.744 d_act=0.0000 loss=-0.0510
update=83 steps=516096 elapsed=369s effrank_n=0.740 d_act=0.0000 loss=-0.1212
update=84 steps=522240 elapsed=374s effrank_n=0.735 d_act=0.0000 loss=0.0198
update=85 steps=528384 elapsed=378s effrank_n=0.729 d_act=0.0000 loss=-0.0820
update=86 steps=534528 elapsed=382s effrank_n=0.734 d_act=0.0000 loss=0.0108
update=87 steps=540672 elapsed=387s effrank_n=0.724 d_act=0.0000 loss=0.0028
update=88 steps=546816 elapsed=391s effrank_n=0.719 d_act=0.0000 loss=-0.1473
update=89 steps=552960 elapsed=395s effrank_n=0.712 d_act=0.0000 loss=-0.0012
update=90 steps=559104 elapsed=400s effrank_n=0.700 d_act=0.0000 loss=-0.1450
update=91 steps=565248 elapsed=404s effrank_n=0.694 d_act=0.0000 loss=-0.0579
update=92 steps=571392 elapsed=408s effrank_n=0.698 d_act=0.0000 loss=0.0251
update=93 steps=577536 elapsed=413s effrank_n=0.707 d_act=0.0000 loss=0.0187
update=94 steps=583680 elapsed=417s effrank_n=0.704 d_act=-0.0000 loss=-0.0029
